record_timestamp,name,stationcode,ebike,mechanical,coordonnees_geo,duedate,numbikesavailable,numdocksavailable,capacity,is_renting,is_installed,nom_arrondissement_communes,is_returning,geometry.type,geometry.coordinates,lat,lng
2024-04-16T12:27:00.395Z,Président Wilson - Baudin,23003,14,13,"[48.89826887103676, 2.2849336266517644]",2024-04-16T12:18:20+00:00,27,1,28,1,1,Levallois-Perret,OUI,Point,"[2.2849336266517644, 48.89826887103676]",48.89826887103676,2.2849336266517644
2024-04-16T12:27:00.395Z,Porte d'Asnières,17023,6,4,"[48.89035817610495, 2.3036286234855656]",2024-04-16T12:15:09+00:00,10,25,36,1,1,Paris,OUI,Point,"[2.3036286234855656, 48.89035817610495]",48.89035817610495,2.3036286234855656
2024-04-16T12:27:00.395Z,Gaston Tessier - Rosa Parks RER,19108,3,9,"[48.8963765, 2.3743692]",2024-04-16T12:21:09+00:00,12,25,37,1,1,Paris,OUI,Point,"[2.3743692, 48.8963765]",48.8963765,2.3743692
2024-04-16T12:27:00.395Z,Marché aux fleurs,4002,2,10,"[48.855258115391, 2.3473754525185]",2024-04-16T12:20:15+00:00,12,8,23,1,1,Paris,OUI,Point,"[2.3473754525185, 48.855258115391]",48.855258115391,2.3473754525185
2024-04-16T12:27:00.395Z,Brillat-Savarin - Küss,13109,1,3,"[48.822203, 2.350422]",2024-04-16T12:22:03+00:00,4,17,21,1,1,Paris,OUI,Point,"[2.350422, 48.822203]",48.822203,2.350422
2024-04-16T12:27:00.395Z,Place de l'Europe - Quai de Bercy,42209,1,12,"[48.82529858840266, 2.3945679143071175]",2024-04-16T12:22:05+00:00,13,2,17,1,1,Charenton-le-Pont,OUI,Point,"[2.3945679143071175, 48.82529858840266]",48.82529858840266,2.3945679143071175
2024-04-16T12:27:00.395Z,Paris - Laitières,43001,3,13,"[48.84630274151258, 2.4207553267478947]",2024-04-16T12:12:50+00:00,16,5,22,1,1,Vincennes,OUI,Point,"[2.4207553267478947, 48.84630274151258]",48.84630274151258,2.4207553267478947
2024-04-16T12:27:00.395Z,Louis Pasteur - Albert Petit,22206,0,0,"[48.796261, 2.317289]",2024-04-16T12:20:56+00:00,0,31,31,1,1,Bagneux,OUI,Point,"[2.317289, 48.796261]",48.796261,2.317289
2024-04-16T12:27:00.395Z,Charonne - Pierre Bayle,11021,2,1,"[48.858445054262, 2.3903981223891]",2024-04-16T12:21:23+00:00,3,20,23,1,1,Paris,OUI,Point,"[2.3903981223891, 48.858445054262]",48.858445054262,2.3903981223891
2024-04-16T12:27:00.395Z,Louis Rolland - République,21217,1,1,"[48.81710889740748, 2.3193106434955717]",2024-04-16T12:18:30+00:00,2,24,26,1,1,Montrouge,OUI,Point,"[2.3193106434955717, 48.81710889740748]",48.81710889740748,2.3193106434955717
2024-04-16T12:27:00.395Z,Javel - André Citroën,15064,5,35,"[48.846276485475, 2.2786368057131767]",2024-04-16T12:21:54+00:00,40,5,45,1,1,Paris,OUI,Point,"[2.2786368057131767, 48.846276485475]",48.846276485475,2.2786368057131767
